Area Code,Year,Item Code,Production,Import Quantity,Stock Variation,Domestic supply quantity,Processing,Residuals,Food,Food supply quantity (kg/capita/yr),Food supply (kcal/capita/day),Protein supply quantity (g/capita/day),Fat supply quantity (g/capita/day),Export Quantity,Losses,Feed,Seed,Other uses (non-food),Tourist consumption
3,2018,2513,10.0,7.0,-3.0,20.0,9.0,0.0,0.0,0.14,1.0,0.03,0.0,0.0,1.0,9.0,1.0,1.0,0.0
3,2018,2514,391.0,85.0,5.0,472.0,4.0,0.0,7.0,2.3,17.0,0.4,0.06,0.0,44.0,414.0,4.0,0.0,0.0
3,2018,2515,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.49,4.0,0.09,0.01,0.0,1.0,0.0,0.0,0.0,0.0
3,2018,2516,35.0,0.0,0.0,35.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.0,2.0,31.0,2.0,0.0,0.0
3,2018,2518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2531,255.0,14.0,0.0,268.0,0.0,0.0,138.0,47.75,90.0,2.22,0.13,1.0,19.0,80.0,31.0,0.0,0.0
3,2018,2533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2537,27.0,0.0,0.0,27.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
3,2018,2542,3.0,22.0,-23.0,48.0,0.0,0.0,48.0,16.49,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2543,1.0,55.0,0.0,55.0,0.0,0.0,55.0,19.09,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3,2018,2745,4.0,0.0,0.0,4.0,0.0,0.0,4.0,1.3,11.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2546,25.0,0.0,-2.0,27.0,0.0,0.0,16.0,5.66,52.0,3.27,0.25,0.0,7.0,1.0,3.0,0.0,0.0
3,2018,2547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2549,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.39,4.0,0.24,0.02,0.0,0.0,1.0,1.0,0.0,0.0
3,2018,2551,13.0,1.0,1.0,13.0,0.0,0.0,13.0,4.38,31.0,0.72,2.43,1.0,1.0,0.0,0.0,0.0,0.0
3,2018,2555,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2556,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.18,3.0,0.13,0.24,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2557,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2559,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018,2560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
