Code Domaine,Domaine,Code zone,Zone,Code année,Année,Code Produit,Produit,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole,Note
"CP","Indices de Prix à la Consommation","8","Antigua-et-Barbuda","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","","106.207348","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","8","Antigua-et-Barbuda","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","","106.792407","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","194","Arabie saoudite","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","103.391106","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","194","Arabie saoudite","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","103.724509","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","194","Arabie saoudite","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7003","Mars","","103.255604","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","194","Arabie saoudite","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7004","Avril","","103.589108","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","194","Arabie saoudite","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7005","Mai","","103.005502","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","194","Arabie saoudite","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7006","Juin","","103.88081","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","194","Arabie saoudite","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7007","Juillet","","104.579017","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","194","Arabie saoudite","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7008","Août","","104.579017","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","194","Arabie saoudite","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7009","Septembre","","105.308424","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","194","Arabie saoudite","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7010","Octobre","","105.193823","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","194","Arabie saoudite","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7011","Novembre","","105.256324","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","194","Arabie saoudite","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7012","Décembre","","104.693618","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","9","Argentine","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7001","Janvier","","144.610321","X","Sources internationales sûres","base year is 2015"
"CP","Indices de Prix à la Consommation","9","Argentine","2018","2018","23013","Prix à la Consommation, Indices d'alimentation (2015 = 100)","7002","Février","","147.766028","X","Sources internationales sûres","base year is 2015"
